file,C,pd,ph,retransmissions,size,timeout,dtau,L,Lf,N,Ne,Nt,T,a,Re,S
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,0,11965,10968,91,0,0,1189366.33333333,0.215707279565399,0,0.640397029342515
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,500,11965,10968,91,0,0,1279052.33333333,0.269676289176766,0,0.595492965234417
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,1000,11965,10968,91,0,0,1371076.33333333,0.325052202256582,0,0.555524625543582
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,1500,11965,10968,91,0,0,1459076,0.37800645215211,0,0.522019871937217
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,2000,11965,10968,91,0,0,1551079,0.433369728374425,0,0.491056011116562
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,3000,11965,10968,91,0,0,1731038,0.541660977852068,0,0.440005746070662
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,4000,11965,10968,91,0,0,1911055,0.649987129126619,0,0.398558213482431
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,5000,11965,10968,91,0,0,2091076,0.758315687421646,0,0.364246285963144
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,6000,11965,10968,91,0,0,2271111,0.866652670288341,0,0.335371836368485
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,7000,11965,10968,91,0,0,2451107.66666667,0.97496658587547,0,0.310743863692646
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,8000,11965,10968,91,0,0,2631038.66666667,1.08324098620978,0,0.289492768128582
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,9000,11965,10968,91,0,0,2811059,1.19156914333473,0,0.270953639417268
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,10000,11965,10968,91,0,0,2991023.66666667,1.29986380275804,0,0.254650832474189
../testfiles/pinguim.gif,115200,0,0,100,128,5000000,11000,11965,10968,91,0,0,3171037,1.40818774759716,0,0.240194821651929
