file,C,pd,ph,retransmissions,size,timeout,dtau,L,Lf,N,Ne,Nt,T,a,Re,S
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,0,11965,10968,91,0,0,1172227.75,0.205394049310489,0,0.649759969141378
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,100,11965,10968,91,0,0,1191006.5,0.216694258253239,0,0.639515121593935
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,200,11965,10968,91,0,0,1211019.5,0.228737183451734,0,0.628946657478816
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,300,11965,10968,91,0,0,1227070.25,0.238395804429586,0,0.620719691204857
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,400,11965,10968,91,0,0,1247121.5,0.250461746761387,0,0.6107397448177
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,500,11965,10968,91,0,0,1267045.25,0.262450965315504,0,0.601136120960689
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,750,11965,10968,91,0,0,1309033.5,0.287717609694943,0,0.581854220435662
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,1000,11965,10968,91,0,0,1356051,0.316010631007104,0,0.561679956481479
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,1500,11965,10968,91,0,0,1444090.75,0.368989001253657,0,0.527436843333195
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,2000,11965,10968,91,0,0,1535012,0.423701328875888,0,0.496195903788809
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,2500,11965,10968,91,0,0,1625067,0.477892386126201,0,0.468698623913147
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,3000,11965,10968,91,0,0,1715063.5,0.532048240702048,0,0.444104061841831
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,4000,11965,10968,91,0,0,1895010.5,0.640332269118262,0,0.401932689379118
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,5000,11965,10968,91,0,0,2075062.25,0.748679331383201,0,0.367057261374528
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,6000,11965,10968,91,0,0,2255035,0.856978854993732,0,0.337762680697491
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,7000,11965,10968,91,0,0,2434025.75,0.964687455077309,0,0.312924654419398
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,8000,11965,10968,91,0,0,2615027.5,1.07360618470539,0,0.291265260754109
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,9000,11965,10968,91,0,0,2794011.25,1.18131057250313,0,0.272606871810794
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,10000,11965,10968,91,0,0,2975027.5,1.29023802758044,0,0.256020042391765
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,11000,11965,10968,91,0,0,3154006.25,1.39793940660259,0,0.241491806386454
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,12000,11965,10968,91,0,0,3332934,1.50561009611366,0,0.228527377579834
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,13000,11965,10968,91,0,0,3515002.5,1.61517074801504,0,0.216690220466889
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,14000,11965,10968,91,0,0,3695997.5,1.72408541579607,0,0.20607878297176
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,15000,11965,10968,91,0,0,3874969.75,1.83178288340995,0,0.196560674226339
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,16000,11965,10968,91,0,0,4054931.5,1.94007578771417,0,0.187837122937013
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,17000,11965,10968,91,0,0,4234984.75,2.04842375261178,0,0.179851100211557
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,18000,11965,10968,91,0,0,4414973,2.15673260342666,0,0.172518986337327
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,19000,11965,10968,91,0,0,4594974.25,2.26504927705809,0,0.165760812841697
../testfiles/pinguim.gif,115200,0,0,3,128,5000000,20000,11965,10968,91,0,0,4775993.25,2.37397838696197,0,0.159478170675109
